2025-02-11 16:20:52 - InputA: 0, InputB: 0, Output: 0
2025-02-11 16:21:00 - InputA: 0, InputB: 0, Output: 0
2025-02-11 16:21:05 - InputA: 1, InputB: 0, Output: 0
2025-02-11 16:21:06 - InputA: 1, InputB: 1, Output: 1
2025-02-11 16:21:07 - InputA: 1, InputB: 0, Output: 0
2025-02-11 16:21:08 - InputA: 0, InputB: 0, Output: 0
2025-02-11 16:21:08 - InputA: 1, InputB: 0, Output: 0
2025-02-11 16:21:09 - InputA: 1, InputB: 1, Output: 1
2025-02-11 16:21:10 - InputA: 1, InputB: 0, Output: 0
2025-02-11 16:21:11 - InputA: 0, InputB: 0, Output: 0
2025-02-11 16:21:12 - InputA: 0, InputB: 1, Output: 0
2025-02-11 16:21:13 - InputA: 1, InputB: 1, Output: 1
2025-02-11 16:21:14 - InputA: 0, InputB: 1, Output: 0
2025-02-11 16:21:14 - InputA: 0, InputB: 0, Output: 0
2025-02-11 16:23:05 - InputA: 0, InputB: 0, Output: 0
2025-02-11 16:23:06 - InputA: 0, InputB: 1, Output: 0
2025-02-11 16:23:07 - InputA: 1, InputB: 1, Output: 1
2025-02-11 16:23:08 - InputA: 0, InputB: 1, Output: 0
2025-02-11 16:23:08 - InputA: 0, InputB: 0, Output: 0
2025-02-11 16:26:56 - InputA: 0, InputB: 0, Output: 0
2025-02-11 16:26:57 - InputA: 0, InputB: 0, Output: 0
2025-02-11 17:01:27 - InputA: 0, InputB: 0, Output: 0
2025-02-11 17:03:52 - InputA: 0, InputB: 0, Output: 0
